scenario,question,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,moisture_enthalpy_correction_J,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q3,161100.0,-0.5264456341425907,-0.5264456341425907,0.0,322.8672662048132,0.11164470113693759,0.11339952730060471,0.7613594417298333,3.858406174556709e-11,2.2149575460428395e-06,6.613114411123695e-08
nominal_proxy,Q3,161400.0,-0.5250457264814812,-0.5250457264814812,0.0,322.86851057515463,0.11115569789366186,0.11290585763104917,0.7582240958053716,3.823256390899916e-11,2.1947347104145365e-06,6.581563074748689e-08
nominal_proxy,Q3,161700.0,-0.5236495212679888,-0.5236495212679888,0.0,322.86974597822956,0.11067019065489873,0.11241569630831176,0.7551099038070348,3.788579165366099e-11,2.1747559191265253e-06,6.550261054210571e-08
nominal_proxy,Q3,162000.0,-0.5222570491538862,-0.5222570491538862,0.0,322.8709725023117,0.11018814527712734,0.1119290092910381,0.7520166711529616,3.754206514392848e-11,2.1550193448627297e-06,6.51921111671549e-08
nominal_proxy,Q3,162300.0,-0.5208683372449074,-0.5208683372449074,0.0,322.8721902345558,0.10970952804309513,0.11144576295230894,0.7489442054971663,3.720349703856995e-11,2.135519238111172e-06,6.4884040496231e-08
nominal_proxy,Q3,162600.0,-0.5194834104449129,-0.5194834104449129,0.0,322.8733992610267,0.10923430565143787,0.11096592407376653,0.7458923166994821,3.687012883234549e-11,2.1162536858465586e-06,6.457842076949208e-08
nominal_proxy,Q3,162900.0,-0.5181022919919688,-0.5181022919919688,0.0,322.87459966672105,0.10876244520902241,0.11048945983971253,0.7428608167961704,3.653801837748356e-11,2.0972150683862267e-06,6.427509864444312e-08
nominal_proxy,Q3,163200.0,-0.5167250036817077,-0.5167250036817077,0.0,322.8757915355868,0.10829391422431292,0.11001633783128541,0.7398495199706002,3.62122706914111e-11,2.0784100382975623e-06,6.397435636726178e-08
nominal_proxy,Q3,163500.0,-0.5153515660752149,-0.5153515660752149,0.0,322.8769749505404,0.1078286806010661,0.10954652602073009,0.7368582425240107,3.58883401113942e-11,2.059823983158182e-06,6.367582266227527e-08
nominal_proxy,Q3,163800.0,-0.5139819665288572,-0.5139819665288572,0.0,322.8781499936326,0.10736671261422512,0.10907999276576201,0.7338868028470096,4.341235758822373e-11,2.0789322103809127e-06,6.45430400714803e-08
nominal_proxy,Q3,164100.0,-0.5126146968124935,-0.5126146968124935,0.0,322.8793167456337,0.10690797431573146,0.10861669842308759,0.7309349605446599,4.984146962047968e-11,2.5353943463590767e-06,7.905223667323741e-08
nominal_proxy,Q3,164400.0,-0.5112523044173569,-0.5112523044173569,0.0,322.8804752945593,0.10645243869803857,0.10815662141914048,0.7280026058627916,4.9375375463661546e-11,2.5119132169848513e-06,7.865525824511194e-08
nominal_proxy,Q3,164700.0,-0.5098941344279033,-0.5098941344279033,0.0,322.88162571424556,0.10600007580310127,0.10769973121356446,0.7250895630169721,4.8918493853050344e-11,2.48871105656967e-06,7.826129801367738e-08
nominal_proxy,Q3,165000.0,-0.5085401095118569,-0.5085401095118569,0.0,322.8827680811318,0.10555085571274658,0.10724599763050446,0.7221956582882958,4.846487362481358e-11,2.4658155073353782e-06,7.787132533363884e-08
nominal_proxy,Q3,165300.0,-0.5071901803193299,-0.5071901803193299,0.0,322.8839024712082,0.10510474875650805,0.1067953908348776,0.7193207197946435,4.801875593697479e-11,2.443191535972389e-06,7.748433712963286e-08
nominal_proxy,Q3,165600.0,-0.5058443136843471,-0.5058443136843471,0.0,322.8850289598755,0.10466172555095438,0.10634788133275244,0.716464577500551,4.7577138952213694e-11,2.4208550725157707e-06,7.710093509262153e-08
nominal_proxy,Q3,165900.0,-0.504502284652705,-0.504502284652705,0.0,322.8861476218683,0.10422175666185282,0.1059034399711626,0.7136270632240265,4.976535098006581e-11,2.708140227625222e-06,8.661467990193816e-08
nominal_proxy,Q3,166200.0,-0.5031645563138509,-0.5031645563138509,0.0,322.8872585322826,0.10378481380757071,0.10546203793983237,0.7108080106897775,4.930039447996398e-11,2.683364648481401e-06,8.61835995086486e-08
nominal_proxy,Q3,166500.0,-0.5018308237681216,-0.5018308237681216,0.0,322.88836176293137,0.10335086848343958,0.10502364675897781,0.7080072553407953,4.884244411567955e-11,2.6588933476068277e-06,8.575620075003289e-08
nominal_proxy,Q3,166800.0,-0.5005010948813309,-0.5005010948813309,0.0,322.88945738643025,0.10291989252304301,0.10458823828838343,0.7052246345354192,4.838811558917632e-11,2.6347207944255047e-06,8.533241176985003e-08
nominal_proxy,Q3,167100.0,-0.4991753765233916,-0.4991753765233916,0.0,322.8905454745462,0.10249185809438319,0.10415578471893389,0.7024599874471901,4.79395631233235e-11,2.6108418180736948e-06,8.491216982554232e-08
nominal_proxy,Q3,167400.0,-0.49785369152233266,-0.49785369152233266,0.0,322.8916260982115,0.1020667377457744,0.10372625867504591,0.6997131558204647,4.749821391935494e-11,2.587259118724816e-06,8.449566678516771e-08
nominal_proxy,Q3,167700.0,-0.4965360225097651,-0.4965360225097651,0.0,322.8926993274516,0.10164450425576052,0.10329963287730885,0.6969839815221153,4.706296300847546e-11,2.563954734635665e-06,8.408241886461388e-08
nominal_proxy,Q3,168000.0,-0.4952223798351239,-0.4952223798351239,0.0,322.89376523159837,0.10122513075368807,0.10287588048961982,0.6942723090813968,4.662987682709688e-11,2.54094440199637e-06,8.367304255630849e-08
nominal_proxy,Q3,168300.0,-0.4939127028797574,-0.4939127028797574,0.0,322.8948238791558,0.1008085906671224,0.10245497499084279,0.691577984763076,4.430613523963335e-11,2.594236357955637e-06,8.578092868169677e-08
nominal_proxy,Q3,168600.0,-0.4926071499450271,-0.4926071499450271,0.0,322.8958753381854,0.10039485776342995,0.1020368901706737,0.6889008565608962,4.392888224300038e-11,2.5722280991846702e-06,8.540371344668729e-08
