scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,moisture_enthalpy_correction_J,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q4,M,20550.0,9.247231766079238,5.322370120325254,3.9248616457539844,288.51334943473313,9.473173754033809,9.40220882123864,-1.2598322506784736,3.2546512109986583e-11,1.606875690285392e-07,2.261650610460107e-10
nominal_proxy,Q4,M,20625.0,9.204456391666273,5.318605687228307,3.885850704437967,288.53191126152814,9.46083906559238,9.389924325028472,-1.2548941401644158,3.214185928679638e-11,1.4493526379055766e-07,2.042599150536446e-10
nominal_proxy,Q4,M,20700.0,9.161662949898922,5.316301771509197,3.845361178389725,288.5505136252878,9.448547557804243,9.377663535865455,-1.2499817006931333,3.1675591817512657e-11,1.261000921459754e-07,1.7794635118892977e-10
nominal_proxy,Q4,M,20775.0,9.11902029117171,5.3156156056828685,3.803404685488841,288.56916302432705,9.436299157709046,9.365424284348146,-1.245094596989651,3.1140701864820386e-11,1.0361537450265246e-07,1.4640679609795713e-10
nominal_proxy,Q4,M,20850.0,9.076680293977239,5.316687709598952,3.759992584378286,288.5878667076222,9.42409367602005,9.353204507583259,-1.2402324211340292,3.053020748646563e-11,7.68396319905662e-08,1.0871373542771891e-10
nominal_proxy,Q4,M,20925.0,9.034779867075915,5.319643855757747,3.7151360113181697,288.60663260283815,9.411930824150692,9.34100224000764,-1.2353947037571684,2.9838291637628943e-11,4.502881001400283e-08,6.378968829429479e-11
nominal_proxy,Q4,M,21000.0,8.993442559157508,5.324596644541874,3.668845914615633,288.62546925259153,9.399810227691264,9.328815605863062,-1.2305809229901539,2.9052046677802274e-11,7.426721460035424e-09,1.0534569358512874e-11
nominal_proxy,Q4,M,21075.0,8.952780054172063,5.33164696709069,3.621133087081372,288.64438575725245,9.387731436988718,9.316642812698316,-1.2257905118091965,2.7566413045173108e-11,1.4531053516009251e-07,2.0638359918357933e-10
nominal_proxy,Q4,M,21150.0,8.912892668850354,5.340884472181693,3.5720081966686603,288.6633917238407,9.37569393796021,9.304482146014918,-1.2210228641639045,2.6226369565434624e-11,7.628483267296815e-08,1.0848595411035044e-10
nominal_proxy,Q4,M,21225.0,8.873871435569164,5.352389619022421,3.5214818165467436,288.682497216467,9.363697157829934,9.292331962856457,-1.216277340463778,2.476036366155864e-11,-3.988390950837584e-09,5.679225322521225e-12
nominal_proxy,Q4,M,21300.0,8.835798212643699,5.366233760167812,3.4695644524758875,288.7017127157379,9.351740473085917,9.280190688327613,-1.2115532718864577,2.3191420005074487e-11,-9.670497069791395e-08,1.3787803596735606e-10
nominal_proxy,Q4,M,21375.0,8.79874673833149,5.382480168244879,3.4162665700866106,288.7210490780297,9.33982321529018,9.268056810342193,-1.2068499644570214,2.1567348200187257e-11,-2.0285410640141777e-07,2.895902156111139e-10
nominal_proxy,Q4,M,21450.0,8.762783367201221,5.401184746456431,3.361598620744791,288.74051749905556,9.327944676333507,9.255928875406651,-1.2021667025433167,1.9973708052192303e-11,-3.230577614310448e-07,4.6177769793267064e-10
nominal_proxy,Q4,M,21525.0,8.727967750431782,5.422396683997615,3.305571066434167,288.7601294802999,9.316104113102176,9.243805484551189,-1.197502751930682,1.8546845540131105e-11,-4.573264273943778e-07,6.545317253395563e-10
nominal_proxy,Q4,M,21600.0,8.694353461998235,5.446159058322962,3.248194403675272,288.7798967980984,9.3043007515881,9.231685289469077,-1.1928573625335228,2.6554861699804078e-11,-6.006037565065014e-07,8.606826348972547e-10
nominal_proxy,Q4,M,21675.0,8.657152441812064,5.474005796540565,3.1831466452714996,288.7998314750998,9.292538930156505,9.219552175704935,-1.1882313684055017,2.6194970202876274e-11,-7.873271763436662e-07,1.129690794247274e-09
nominal_proxy,Q4,M,21750.0,8.62061749738796,5.506107141747421,3.1145103556405385,288.81995274813147,9.280817912386858,9.20740313725275,-1.1836239038002367,2.6619372450998438e-11,-9.933106532855618e-07,1.4270447032616477e-09
nominal_proxy,Q4,M,21825.0,8.591365451607526,5.540748662343887,3.0506167892636396,288.8402807156449,9.26913020399396,9.19525353983124,-1.1790318192167648,1.886611089117259e-11,-1.1498600955839322e-06,1.654035233479938e-09
nominal_proxy,Q4,M,21900.0,8.568159098134785,5.576734368770078,2.991424729364708,288.8608275071736,9.257470552012114,9.183114076156352,-1.1744527660827115,2.0850907343041504e-11,-1.32041205569422e-06,1.9017607430678105e-09
nominal_proxy,Q4,M,21975.0,8.549963462996358,5.613068827452688,2.9368946355436703,288.8815996819932,9.245835045014271,9.170994107495092,-1.169885117268358,2.321586956960144e-11,-1.48648571896004e-06,2.1436473276496007e-09
nominal_proxy,Q4,M,22050.0,8.535881445595319,5.648893202979574,2.886988242615745,288.9025991413856,9.234220705393867,9.158902107804861,-1.1653277833965474,2.5434789457278954e-11,-1.6161958136251542e-06,2.3336324961796456e-09
nominal_proxy,Q4,M,22125.0,8.52512217278097,5.683453895396034,2.8416682773849358,288.92382374625873,9.222625261546929,9.146845853271456,-1.1607800938201556,2.748458018242396e-11,-1.7252644264331707e-06,2.4942492005705957e-09
nominal_proxy,Q4,M,22200.0,8.516982224058289,5.716083978837644,2.800898245220645,288.94526779175453,9.21104700252252,9.134832528583868,-1.156241714979208,2.955987593769715e-11,-1.5665612638215975e-06,2.267655730331318e-09
nominal_proxy,Q4,M,22275.0,8.51083175356968,5.746189488083031,2.764642265486647,288.9669223980734,9.199484680114033,9.122868798649105,-1.1517125913870911,3.06938204364746e-11,-1.6217865708156864e-06,2.3505469812838597e-09
nominal_proxy,Q4,M,22350.0,8.506106232105054,5.773241286354014,2.732864945751041,288.98877583955306,9.18793743354642,9.110960860854178,-1.1471929015067786,3.165213608638704e-11,-1.6655641541518662e-06,2.4170301785333784e-09
nominal_proxy,Q4,M,22425.0,8.502297934390958,5.796766649284444,2.7055312851065145,289.01081383786084,9.176404734541274,9.099114489891743,-1.1426830226259217,3.243825434209552e-11,-1.6994303435602376e-06,2.4692754845672746e-09
