scenario,question,level,time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
no_latent,Q2,L,8400.0,fixed-domain-moisture,650.0,-9.292878934717468e-06,9.292878934717468e-06,-9.292878920821186e-06,-1.3896281925184807e-14,2.026335302573639e-11
no_latent,Q2,L,8520.0,fixed-domain-moisture,650.0,-9.225867616602735e-06,9.225867616602735e-06,-9.225867603288345e-06,-1.3314390619211837e-14,4.3490697157556456e-11
no_latent,Q2,L,8640.0,fixed-domain-moisture,650.0,-9.153667717189229e-06,9.153667717189229e-06,-9.153667700880214e-06,-1.6309014617857213e-14,2.3335633366467284e-11
no_latent,Q2,L,8760.0,fixed-domain-moisture,650.0,-9.083770329453948e-06,9.083770329453948e-06,-9.08377031162494e-06,-1.7829008465441477e-14,2.628924628717964e-11
no_latent,Q2,L,8880.0,fixed-domain-moisture,650.0,-9.014901565170732e-06,9.014901565170732e-06,-9.014901550869451e-06,-1.4301280564519084e-14,2.1002014116543423e-11
no_latent,Q2,L,9000.0,fixed-domain-moisture,650.0,-8.947834846738448e-06,8.947834846738448e-06,-8.947834825277071e-06,-2.1461377122601773e-14,4.380426942247295e-11
no_latent,Q2,L,9120.0,fixed-domain-moisture,650.0,-8.876213566590771e-06,8.876213566590771e-06,-8.876213542422608e-06,-2.4168162385111193e-14,3.704030048026385e-11
no_latent,Q2,L,9240.0,fixed-domain-moisture,650.0,-8.808282882918004e-06,8.808282882918004e-06,-8.808282860289305e-06,-2.2628698638201342e-14,3.5059282668041337e-11
no_latent,Q2,L,9360.0,fixed-domain-moisture,650.0,-8.740962166283873e-06,8.740962166283873e-06,-8.740962148784482e-06,-1.749939067621515e-14,2.705756866380836e-11
no_latent,Q2,L,9480.0,fixed-domain-moisture,650.0,-8.673926641510395e-06,8.673926641510395e-06,-8.673926633202618e-06,-8.307777073701325e-15,1.2730809931593196e-11
no_latent,Q2,L,9600.0,fixed-domain-moisture,650.0,-8.603946613744624e-06,8.603946613744624e-06,-8.60394658638932e-06,-2.7355303420140316e-14,4.265583350119214e-11
no_latent,Q2,L,9720.0,fixed-domain-moisture,650.0,-8.540063064224944e-06,8.540063064224944e-06,-8.540063041967186e-06,-2.2257757499610266e-14,3.484384326557844e-11
no_latent,Q2,L,9840.0,fixed-domain-moisture,650.0,-8.471057338978306e-06,8.471057338978306e-06,-8.471057324866089e-06,-1.411221772849424e-14,2.2013633424130804e-11
no_latent,Q2,L,9960.0,fixed-domain-moisture,650.0,-8.40632228187735e-06,8.40632228187735e-06,-8.406322271345854e-06,-1.0531496058259829e-14,1.559150957701333e-11
no_latent,Q2,L,10080.0,fixed-domain-moisture,650.0,-8.339533868447948e-06,8.339533868447948e-06,-8.3395338410287e-06,-2.7419247631394437e-14,4.330378139440872e-11
no_latent,Q2,L,10200.0,fixed-domain-moisture,650.0,-8.275230492795278e-06,8.275230492795278e-06,-8.275230466363022e-06,-2.643225604213352e-14,4.186234654942293e-11
no_latent,Q2,L,10320.0,fixed-domain-moisture,650.0,-8.208901193370032e-06,8.208901193370032e-06,-8.208901166726709e-06,-2.6643323100062136e-14,4.2184526611338e-11
no_latent,Q2,L,10440.0,fixed-domain-moisture,650.0,-8.146388894635871e-06,8.146388894635871e-06,-8.146388865871949e-06,-2.8763922599556006e-14,4.54006821342916e-11
no_latent,Q2,L,10560.0,fixed-domain-moisture,650.0,-8.080174923812677e-06,8.080174923812677e-06,-8.080174902882557e-06,-2.093011975214977e-14,3.33948885964028e-11
no_latent,Q2,L,10680.0,fixed-domain-moisture,650.0,-8.017146267392856e-06,8.017146267392856e-06,-8.017146256810338e-06,-1.0582517934870639e-14,1.6698356362164095e-11
no_latent,Q2,L,10800.0,fixed-domain-moisture,650.0,-7.958295135671106e-06,7.958295135671106e-06,-7.958295119358231e-06,-1.63128753940308e-14,2.5699461414384983e-11
no_latent,Q2,M,120.0,fixed-domain-moisture,650.0,-1.9671534521053574e-05,1.9671534521053574e-05,-1.9671534534123682e-05,1.3070108011289591e-14,1.503515923253396e-11
no_latent,Q2,M,240.0,fixed-domain-moisture,650.0,-1.865392366120077e-05,1.865392366120077e-05,-1.865392369376558e-05,3.2564808461572545e-14,3.531708004238773e-11
