scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,convective_input_J,evaporation_latent_heat_loss_J,geometry_correction_J,expected_sensible_change_J,fixed_geometry_error_J,moving_geometry_error_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q3,M,143175.0,0.09633211830926772,0.09633211830926772,0.0,11.285341996111432,11.189010336075876,0.0,0.09633166003555615,4.582737115621516e-07,4.582737115621516e-07,322.76538932431055,0.1504712266148191,0.14918680448101168,3.244246278769389e-11,4.582737115621516e-07,4.0607870963951116e-08
nominal_proxy,Q3,M,143250.0,0.09612142842887769,0.09612142842887769,0.0,11.270602940395099,11.174481969260615,0.0,0.09612097113448392,4.572943937686258e-07,4.572943937686258e-07,322.7658935349685,0.15027470587193464,0.14899309292347487,3.2369498404046757e-11,4.572943937686258e-07,4.0574084295848243e-08
nominal_proxy,Q3,M,143325.0,0.09591136182453239,0.09591136182453239,0.0,11.255895070468442,11.159984164966305,0.0,0.09591090550213721,4.56322395175901e-07,4.56322395175901e-07,322.7663966724434,0.15007860093957923,0.1487997888662174,3.229654157679035e-11,4.56322395175901e-07,4.0540747076892395e-08
nominal_proxy,Q3,M,143400.0,0.09570191619069265,0.09570191619069265,0.0,11.241218296739172,11.145516835898292,0.0,0.09570146084088016,4.5534981249484296e-07,4.5534981249484296e-07,322.7668987398354,0.14988291062318895,0.14860689114531056,3.222385214294484e-11,4.5534981249484296e-07,4.0507158608149245e-08
nominal_proxy,Q3,M,143475.0,0.09549308924195926,0.09549308924195926,0.0,11.226572529936442,11.131079895073345,0.0,0.09549263486309734,4.5437886192489785e-07,4.5437886192489785e-07,322.76739974023354,0.1496876337324859,0.14841439860097794,3.215205090024274e-11,4.5437886192489785e-07,4.047351591175889e-08
nominal_proxy,Q3,M,143550.0,0.09528487870395069,0.09528487870395069,0.0,11.211957681110283,11.116673255818272,0.0,0.09528442529201087,4.5341193982695316e-07,4.5341193982695316e-07,322.76789967671533,0.14949276908147044,0.14822231007757697,3.207936144834212e-11,4.5341193982695316e-07,4.044003310776439e-08
nominal_proxy,Q3,M,143625.0,0.09507728230579118,0.09507728230579118,0.0,11.197373661626303,11.102296831768642,0.0,0.09507682985766053,4.5244813065559164e-07,4.5244813065559164e-07,322.76839855234755,0.1492983154883507,0.1480306244235819,3.200783007397139e-11,4.5244813065559164e-07,4.040662965514346e-08
nominal_proxy,Q3,M,143700.0,0.09487029779101966,0.09487029779101966,0.0,11.182820383171507,11.087950536867488,0.0,0.09486984630401807,4.5148700159036714e-07,4.5148700159036714e-07,322.7688963701858,0.14910427177562008,0.14783934049156652,3.193633923772968e-11,4.5148700159036714e-07,4.037326775540349e-08
nominal_proxy,Q3,M,143775.0,0.0946639229102327,0.0946639229102327,0.0,11.168297757746723,11.073634285363966,0.0,0.09466347238275752,4.5052747518758984e-07,4.5052747518758984e-07,322.7693931332747,0.1489106367699563,0.1476484571381862,3.18642887937526e-11,4.5052747518758984e-07,4.0339851690924714e-08
nominal_proxy,Q3,M,143850.0,0.09445815542624438,0.09445815542624438,0.0,11.15380569766698,11.059347991812079,0.0,0.09445770585490187,4.4957134250067643e-07,4.4957134250067643e-07,322.7698888446481,0.1487174093022264,0.14745797322416104,3.1793172026496375e-11,4.4957134250067643e-07,4.0306542420289104e-08
