scenario,scenario_label,question,level,time_level,refinement_axis,nr,nz,dt_s,duration_s,status,runtime_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,candidate_temperature_range_C,max_linear_relative_residual,normalized_moisture_balance_error,latent_integral_J_est,latent_peak_power_W,latent_mass_closure,proxy_scale,L_v_J_per_kg,latent_product_Lv_scale,water_balance_max_abs_kg_s,proxy_boundary_loss_max_kg_s,water_trace_count,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J
component_bound_nominal,液态-气态-结合水 名义 toy,Q2,M,M,component,12,12,120.0,10800.0,PASS,4.2904404000000795,2.513139225626497,1.739379497210911,,,31.490493152416207,4.998663079322522e-11,2.4346169302829683e-09,184609.20644705548,42.57568226715849,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,4.5939668762888866e-14,1.7739867611316037e-05,90,1.6768960343255307e-09,3.2151186104556473e-06
component_bound_nominal,液态-气态-结合水 名义 toy,Q3,M,M,component,12,12,300.0,259200.0,PASS,11.775892500008922,0.1499574660289979,0.1227239882184475,240480.0,240449.57760124237,50.30064056036434,4.999799385849207e-11,9.664098720093235e-10,577761.6390007522,40.15776395933578,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.1263653374691254e-14,1.673240164972324e-05,802,1.2464885713529742e-07,4.369761370526248e-06
component_bound_nominal,液态-气态-结合水 名义 toy,Q4,M,M,component,12,12,300.0,259200.0,PASS,45.589672100002645,0.14995648820858523,0.11652343725397571,245940.0,245914.1675048665,45.88287352220789,4.99988038335592e-11,4.440129434732274e-10,739686.635762011,40.50337327748158,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.702328531502477e-14,1.687640553228399e-05,820,5.342332305495136e-08,3.3503029044368304e-06
component_bound_high,液态-气态-结合水 高档 toy,Q2,M,M,component,12,12,120.0,10800.0,PASS,1.4238189000025159,2.515796057770912,1.743469878053073,,,30.50221984809599,4.997829031537377e-11,2.7658521554286302e-09,186015.02475678336,38.38474248622543,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,4.4413118880292854e-14,1.5993642702593928e-05,90,1.600148548837935e-09,3.1389723744723597e-06
component_bound_high,液态-气态-结合水 高档 toy,Q3,M,M,component,12,12,300.0,259200.0,PASS,37.39936090000265,0.14992187514438715,0.12269872003570664,240660.0,240620.3641349341,50.559838139495014,4.999263570956289e-11,1.0290671516407317e-09,582507.5853742174,36.89846296442709,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.0008805403553057e-14,1.5374359568511286e-05,803,1.2453613347883694e-07,4.376839129349719e-06
component_bound_high,液态-气态-结合水 高档 toy,Q4,M,M,component,12,12,300.0,259200.0,PASS,33.18377399999008,0.1499013969076483,0.11648772547036892,246120.0,246102.6735886467,45.93231748857636,4.9995155447821764e-11,4.986907416523486e-10,743657.2297985244,37.21602179660401,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.1146760462354618e-14,1.5506675748585005e-05,821,5.3394518929726585e-08,3.5854125144396676e-06
no_latent,无潜热内部温度基线,Q2,M,L,time,12,12,240.0,10800.0,PASS,0.6248720000003232,1.7672210896081553,1.334577244091738,,,21.771294352687164,4.995554508461867e-11,9.262994453509717e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,2.5534933054734837e-14,0.0,45,1.490777883283558e-07,2.9453756944519682e-06
no_latent,无潜热内部温度基线,Q2,M,M,time,12,12,120.0,10800.0,PASS,0.9918254000076558,1.7648196126969389,1.3323227805316495,,,21.80401789108157,4.996502523051529e-11,1.1860775357037348e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,3.238646398046226e-14,0.0,90,1.0446500478544785e-06,3.3457120736102297e-06
no_latent,无潜热内部温度基线,Q2,M,H,time,12,12,60.0,10800.0,PASS,1.3296758999931626,1.763312873195944,1.3311196135520311,,,21.845821046728076,4.995605357845477e-11,2.210938603582369e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,6.514702853240885e-14,0.0,180,1.4200502072014842e-06,3.144738260019153e-06
no_latent,无潜热内部温度基线,Q2,M,X,time,12,12,30.0,10800.0,PASS,2.025783800010686,1.7627022208617642,1.3305625692370422,,,21.848541049994196,4.998925501243632e-11,8.132361160926632e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,6.24200144290531e-14,0.0,360,2.662475467193892e-06,3.367358260675246e-06
no_latent,无潜热内部温度基线,Q3,M,L,time,12,12,600.0,259200.0,PASS,3.600930899992818,0.14986481871778942,0.1228476398415277,214320.0,214315.00717468484,22.000308205517058,4.9983496415731463e-11,5.503379156196833e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.103035272441346e-14,0.0,358,4.650108874529324e-06,6.890587719965424e-06
no_latent,无潜热内部温度基线,Q3,M,M,time,12,12,300.0,259200.0,PASS,16.044128200010164,0.14993638714134797,0.12289735811913033,213420.0,213374.19495377087,22.024535468151498,4.9961524537958594e-11,5.159444118141093e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.5035160074415577e-14,0.0,712,4.0753448424801775e-06,4.108821372028615e-06
no_latent,无潜热内部温度基线,Q3,M,H,time,12,12,150.0,259200.0,PASS,15.781548300001305,0.1499719437876814,0.12292202230679608,212940.0,212902.53380224042,22.023483052688846,4.9998686609928506e-11,1.6594230524897539e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,4.4721039073542315e-14,0.0,1420,2.0378901309772626e-06,3.5962117834742457e-06
no_latent,无潜热内部温度基线,Q3,M,X,time,12,12,75.0,259200.0,PASS,16.089164699995308,0.1499897150833393,0.12293436754330783,212700.0,212666.57099660204,21.999024956608764,4.9996226804341995e-11,1.9798952842196723e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,6.778721328834156e-14,0.0,2836,2.3412702939706875e-06,4.223272441095105e-06
no_latent,无潜热内部温度基线,Q4,M,L,time,12,12,600.0,259200.0,PASS,4.738503499989747,0.14986407050327413,0.11691905085547272,187560.0,187530.75895693287,21.999992343109852,4.9984118810436245e-11,5.051488878805279e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,9.812766579657926e-15,0.0,313,1.4583014756617494e-08,5.1688334679056425e-06
no_latent,无潜热内部温度基线,Q4,M,M,time,12,12,300.0,259200.0,PASS,6.289757500009728,0.14995942641406115,0.11698131617841888,186840.0,186821.2146792596,22.02155482284411,4.9971273697610745e-11,8.934328808464882e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.9953755038245105e-14,0.0,623,1.490260663433556e-08,4.209819508105284e-06
no_latent,无潜热内部温度基线,Q4,M,H,time,12,12,150.0,259200.0,PASS,8.21737139999459,0.14993178010324973,0.11696244671332265,186480.0,186466.07990531749,22.02138149090257,4.9987857677868163e-11,1.0716019596358608e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,3.315418923286514e-14,0.0,1244,1.458596176554414e-08,2.1877888229937525e-06
no_latent,无潜热内部温度基线,Q4,M,X,time,12,12,75.0,259200.0,PASS,9.257143099996028,0.14999334572994624,0.11700303091694814,186300.0,186288.75206463513,21.998940246321183,4.999959231930476e-11,2.3872600295392523e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.1266565818853803e-13,0.0,2484,1.5272696219735967e-08,3.029878371307859e-06
nominal_proxy,名义等效潜热近似,Q2,M,L,time,12,12,240.0,10800.0,PASS,0.919504199991934,2.518709163647981,1.7580157425008414,,,33.45466313013196,4.9838969606656625e-11,8.989201493746134e-10,188499.92282080845,45.207990480716774,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.7306478922477983e-14,1.8836662700298656e-05,45,9.493253617496808e-10,3.62735866588082e-06
nominal_proxy,名义等效潜热近似,Q2,M,M,time,12,12,120.0,10800.0,PASS,1.427271099993959,2.5207786951783078,1.757251568797426,,,33.75718096411322,4.99888892526277e-11,2.331157787310127e-09,191354.2313682869,47.21959460240826,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,5.031081955664436e-14,1.9674831084336775e-05,90,1.6244302241557334e-09,3.2362185322654113e-06
nominal_proxy,名义等效潜热近似,Q2,M,H,time,12,12,60.0,10800.0,PASS,2.1855103999987477,2.5217932696767615,1.7568223513671855,,,34.14572878435007,4.994832902187475e-11,1.3923918677150267e-09,192868.14539328974,48.64857598667026,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,7.889046336226162e-14,2.027023999444594e-05,180,3.992399343827135e-09,3.830164260421043e-06
nominal_proxy,名义等效潜热近似,Q2,M,X,time,12,12,30.0,10800.0,PASS,3.6412523000035435,2.5223300750084308,1.756673135072196,,,34.34479828457694,4.9994975069576814e-11,1.0293622180089339e-09,193637.85707298203,49.611725271899985,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,4.28673472790248e-14,2.0671552196624993e-05,360,4.762590873448295e-09,2.585405525223905e-06
nominal_proxy,名义等效潜热近似,Q3,M,L,time,12,12,600.0,259200.0,PASS,8.086790100001963,0.14998244163776456,0.1227422152843491,241800.0,241740.08016494435,51.813293334010154,4.999976454058606e-11,2.650354835062004e-10,586613.0697624828,41.46110573987255,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,4.81230588147627e-15,1.7275460724946895e-05,403,1.5685703150455873e-07,5.300100188065926e-06
