model,bound_fraction,release_tau_s,question,time_s,dt_s,rho_d_kg_m3,liquid_inventory_old_kg,bound_inventory_old_kg,liquid_inventory_new_kg,bound_inventory_new_kg,total_inventory_old_kg,total_inventory_new_kg,delta_total_inventory_kg,boundary_net_in_kg_s,expected_delta_from_boundary_kg,water_balance_residual_kg,release_to_liquid_kg_s,liquid_min_C,bound_min_C,total_min_C,phase_split_residual_C,dry_solid_inventory_relative_error,solver_relative_residual
M2,0.1,7200.0,Q3,103500.0,300.0,650.0,0.019857018546404995,1.5512644506770965e-08,0.019810829318442937,1.4879565062776699e-08,0.0198570340590495,0.019810844198008,-4.618986104150055e-05,-1.539662035336184e-07,-4.6189861060085525e-05,1.858497351240468e-14,2.1102648133142295e-12,0.06245127357484535,1.4573269727990025e-07,0.06245141930754263,1.877252651220104e-17,0.0,6.960952332034585e-12
M2,0.1,7200.0,Q3,103800.0,300.0,650.0,0.019810829318442937,1.4879565062776699e-08,0.01976504418232169,1.4272321934584878e-08,0.019810844198008,0.019765058454643627,-4.5785743364373105e-05,-1.5261914460433508e-07,-4.578574338130052e-05,1.6927418126054528e-14,2.0241437606393934e-12,0.06241567737881867,1.397852667869579e-07,0.06241581716408545,1.917822882415625e-17,0.0,6.622558400241277e-12
M2,0.1,7200.0,Q3,104100.0,300.0,650.0,0.01976504418232169,1.4272321934584878e-08,0.019719657727569208,1.3689860728121313e-08,0.019765058454643627,0.019719671417429935,-4.538703721369136e-05,-1.5129012409977315e-07,-4.5387037229931944e-05,1.624058282604854e-14,1.9415373548785448e-12,0.062380335098751925,1.340805541612382e-07,0.062380469179306085,1.8167533229624657e-18,0.0,6.256382696361488e-12
M2,0.1,7200.0,Q3,104400.0,300.0,650.0,0.019719657727569208,1.3689860728121313e-08,0.01967466463714594,1.3131170079706394e-08,0.019719671417429935,0.019674677768316023,-4.499364911391204e-05,-1.4997883043436597e-07,-4.4993649130309795e-05,1.639775148347747e-14,1.8623021613830698e-12,0.06234524373772772,1.2860865395481045e-07,0.062345372346381676,6.107425187058726e-18,0.0,5.908306551992516e-12
M2,0.1,7200.0,Q3,104700.0,300.0,650.0,0.01967466463714594,1.3131170079706394e-08,0.019630059685539908,1.2595279899961335e-08,0.019674677768316023,0.019630072280819807,-4.460548749621665e-05,-1.4868495837568105e-07,-4.4605487512704316e-05,1.6487665724894407e-14,1.7863005991501952e-12,0.06231040034748944,1.2336006496645166e-07,0.06231052370755441,2.5604376627399008e-17,0.0,5.581227245446719e-12
M2,0.1,7200.0,Q3,105000.0,300.0,650.0,0.019630059685539908,1.2595279899961335e-08,0.019585837736909348,1.2081259689381554e-08,0.019630072280819807,0.01958584981816904,-4.42224626507684e-05,-1.4740820889095767e-07,-4.42224626672873e-05,1.6518897523725568e-14,1.7134007019326073e-12,0.06227580202745408,1.1832567374411878e-07,0.062275920353127824,1.501549863976479e-17,0.0,5.27367650506509e-12
M2,0.1,7200.0,Q3,105300.0,300.0,650.0,0.019585837736909348,1.2081259689381554e-08,0.019541993743262397,1.1588216922652408e-08,0.01958584981816904,0.019542005331479317,-4.384448668972099e-05,-1.4614828902146568e-07,-4.38444867064397e-05,1.6718709207851068e-14,1.643475889097151e-12,0.06224144592374829,1.134967387606943e-07,0.06224155942048705,2.4329565572001684e-17,0.0,4.976799519427649e-12
M2,0.1,7200.0,Q3,105600.0,300.0,650.0,0.019541993743262397,1.1588216922652408e-08,0.019498522742682642,1.1115295498901892e-08,0.019542005331479317,0.019498533857978135,-4.3471473501182495e-05,-1.4490491172623306e-07,-4.347147351786992e-05,1.6687423198911283e-14,1.5764047458350563e-12,0.062207329228271546,1.0886487523552804e-07,0.06220743809314678,9.872023416461061e-18,0.0,4.7052736527030965e-12
M2,0.1,7200.0,Q3,105900.0,300.0,650.0,0.019498522742682642,1.1115295498901892e-08,0.019455419857590802,1.066167425519935e-08,0.019498533857978135,0.01945543051926506,-4.3103338713074146e-05,-1.4367779576221096e-07,-4.3103338728663286e-05,1.5589139950710623e-14,1.5120708123417968e-12,0.06217344917777613,1.044220405754202e-07,0.06217355359981671,5.490996959694409e-18,0.0,4.4543245916929524e-12
M2,0.1,7200.0,Q3,106200.0,300.0,650.0,0.019455419857590802,1.066167425519935e-08,0.019412680293042626,1.0226565540719142e-08,0.01945543051926506,0.019412690519608165,-4.273999965689543e-05,-1.424666655741213e-07,-4.273999967223639e-05,1.5340959297165113e-14,1.4503623816007032e-12,0.062139803052970136,1.001605204097657e-07,0.06213990321349055,2.3391119240892923e-17,0.0,4.20701887608542e-12
M2,0.1,7200.0,Q3,106500.0,300.0,650.0,0.019412680293042626,1.0226565540719142e-08,0.019370299335068137,9.809213849093412e-09,0.019412690519608165,0.019370309144281988,-4.2381375326177445e-05,-1.4127125113814496e-07,-4.2381375341443486e-05,1.5266040927046365e-14,1.3911723054190958e-12,0.06210638817764512,9.607291519561191e-08,0.06210648425056031,1.6732182960943042e-17,0.0,3.982033397306771e-12
M2,0.1,7200.0,Q3,106800.0,300.0,650.0,0.019370299335068137,9.809213849093412e-09,0.019328272349048332,9.40889450657935e-09,0.019370309144281988,0.019328281757942836,-4.202738633915168e-05,-1.4009128784769913e-07,-4.202738635430974e-05,1.5158061166930387e-14,1.3343978083802088e-12,0.062073201917820266,9.215212736937126e-08,0.06207329406994763,3.974847688778614e-18,0.0,3.770288696930843e-12
M2,0.1,7200.0,Q3,107100.0,300.0,650.0,0.019328272349048332,9.40889450657935e-09,0.01928659477812774,9.024912413762997e-09,0.019328281757942836,0.019286603803040158,-4.1677954902678144e-05,-1.3892651639229595e-07,-4.167795491768879e-05,1.5010643552790248e-14,1.2799403093878382e-12,0.06204024168090849,8.839134902287936e-08,0.06204033007225752,4.932709603225219e-18,0.0,3.5720615680299986e-12
M2,0.1,7200.0,Q3,107400.0,300.0,650.0,0.01928659477812774,9.024912413762997e-09,0.019245262141621786,8.656600838614852e-09,0.019286603803040158,0.01924527079822263,-4.1333004817529356e-05,-1.3777668257546157e-07,-4.1333004772638474e-05,-4.489088273199396e-14,1.2277052504938193e-12,0.062007504914901514,8.478405008240001e-08,0.06200758969895159,2.3993730243305155e-17,0.0,7.198806862691665e-12
M2,0.1,7200.0,Q3,107700.0,300.0,650.0,0.019245262141621786,8.656600838614852e-09,0.019204270033621518,8.30332025880149e-09,0.01924527079822263,0.019204278336941775,-4.0992461280853904e-05,-1.366415374609275e-07,-4.099246123827825e-05,-4.25756503078141e-14,1.1776019327112047e-12,0.061974989107574235,8.132396697005125e-08,0.061975070431541206,2.0564292363219505e-17,0.0,6.8785885771033725e-12
M2,0.1,7200.0,Q3,108000.0,300.0,650.0,0.019204270033621518,8.30332025880149e-09,0.019163614121386764,7.964457251243109e-09,0.019204278336941775,0.019163622085844018,-4.0656251097757196e-05,-1.3552083685802656e-07,-4.065625105740797e-05,-4.034922759408796e-14,1.1295433585279334e-12,0.061942691785707,7.800509172796495e-08,0.06194276979079873,8.674014426578061e-18,0.0,6.571964522102919e-12
M2,0.1,7200.0,Q3,108300.0,300.0,650.0,0.019163614121386764,7.964457251243109e-09,0.019123290143937002,7.639423426988818e-09,0.019163622085844018,0.019123297783360426,-4.032430248359156e-05,-1.3441434148395555e-07,-4.032430244518667e-05,-3.8404893956851816e-14,1.0834460808476406e-12,0.06191061051432638,7.482166158629522e-08,0.06191068533598797,2.3802022864539865e-18,0.0,6.272292206952e-12
