model,bound_fraction,release_tau_s,question,time_s,dt_s,L_v_J_per_kg,surface_gasification_rate_kg_s,latent_power_W,cumulative_latent_energy_J,outer_gasification_max_kg_m2_s,z0_gasification_max_kg_m2_s,z1_gasification_max_kg_m2_s,liquid_inventory_kg,bound_inventory_kg,release_to_liquid_kg_s,heat_boundary_in_W,heat_solver_relative_residual,latent_enabled
M2,0.2,7200.0,Q2,2880.0,120.0,2400000.0,7.168118477295022e-06,17.203484345508052,62664.38440695893,0.00043259502650737006,0.0,0.0004391960594524258,0.19934449377352456,0.03490483722087582,4.8885185534391524e-06,18.74560498518542,3.033348501655581e-11,True
M2,0.2,7200.0,Q2,3000.0,120.0,2400000.0,7.12537018896311e-06,17.100888453511462,64716.49102138031,0.00043098006590564517,0.0,0.0004372390846368248,0.19906637556449477,0.03432791100702164,4.807718448784768e-06,18.622206869427025,4.8550484407790004e-11,True
M2,0.2,7200.0,Q2,3120.0,120.0,2400000.0,7.091512755150936e-06,17.019630612362246,66758.84669486378,0.0004297903124952747,0.0,0.0004363072858588332,0.19878278449598244,0.03376052054473468,4.728253852391333e-06,18.665366495524626,4.917624625078985e-11,True
M2,0.2,7200.0,Q2,3240.0,120.0,2400000.0,7.057103627962823e-06,16.937048707110776,68791.29253971708,0.00042848698960962206,0.0,0.00043520759148419085,0.19849394438329798,0.033202508221904806,4.650102690248998e-06,18.58547698688775,4.7819812233528756e-11,True
M2,0.2,7200.0,Q2,3360.0,120.0,2400000.0,7.02613284046621e-06,16.862718817118903,70814.81879777134,0.00042730155356117384,0.0,0.00043415658824175755,0.19819959763269038,0.03265371903152092,4.573243253199001e-06,18.478675359663214,2.8353229984467278e-11,True
M2,0.2,7200.0,Q2,3480.0,120.0,2400000.0,6.996007729915778e-06,16.790418551797867,72829.66902398708,0.00042607422174111215,0.0,0.00043305988788976455,0.19789979520789308,0.032114000528612505,4.497654190903517e-06,18.36019794735973,3.526397940057209e-11,True
M2,0.2,7200.0,Q2,3600.0,120.0,2400000.0,6.973254653206419e-06,16.735811167695406,74837.96636411053,0.00042519939778666165,0.0,0.00043245536475633033,0.19759380239011454,0.03158320278790274,4.423314505914749e-06,18.376497870370528,4.378358236509858e-11,True
M2,0.2,7200.0,Q2,3720.0,120.0,2400000.0,6.947777417804227e-06,16.674665802730143,76838.92626043815,0.00042409690234173177,0.0,0.00043161908958213436,0.19728209352564635,0.03106117836216166,4.350203547842253e-06,18.2782553382233,3.78670851603288e-11,True
M2,0.2,7200.0,Q2,3840.0,120.0,2400000.0,6.925479606785507e-06,16.621151056285218,78833.46438719238,0.0004231144628773217,0.0,0.00043092588614933086,0.1969644320936816,0.030547782241247694,4.278301007616382e-06,18.20912269592943,4.6520730557093734e-11,True
M2,0.2,7200.0,Q2,3960.0,120.0,2400000.0,6.902973306336107e-06,16.567135935206657,80821.52069941717,0.0004220537300637573,0.0,0.00043017341886822814,0.19664098572627955,0.030042871811826063,4.207586911846952e-06,18.114008353509778,4.064059130091633e-11,True
M2,0.2,7200.0,Q2,4080.0,120.0,2400000.0,6.879912520326542e-06,16.511790048783702,82802.93550527122,0.00042089434474202307,0.0,0.0004292647681599146,0.19631196121785485,0.029546306817753068,4.138041617274951e-06,17.947026993722982,1.9410316272641223e-11,True
M2,0.2,7200.0,Q2,4200.0,120.0,2400000.0,6.857760990876678e-06,16.45862637810403,84777.9706706437,0.00041971573995109077,0.0,0.00042847974782055093,0.19597738739553763,0.029057949321115183,4.069645805315733e-06,17.901280910649245,4.4742366709728566e-11,True
M2,0.2,7200.0,Q2,4320.0,120.0,2400000.0,6.841411075260992e-06,16.41938658062638,86748.29706031886,0.0004188338740174054,0.0,0.00042809243526402543,0.19563670372366454,0.028577663663912033,4.002380476692905e-06,17.922856276808194,3.9745492845728464e-11,True
M2,0.2,7200.0,Q2,4440.0,120.0,2400000.0,6.818856602937474e-06,16.365255847049937,88712.12776196485,0.0004175464569231635,0.0,0.000427142032448403,0.19529078816481094,0.02810531643037278,3.936226946160433e-06,17.701392275904993,3.624316110237314e-11,True
M2,0.2,7200.0,Q2,4560.0,120.0,2400000.0,6.798501103184219e-06,16.316402647642125,90670.0960796819,0.00041632681776754483,0.0,0.00042638865001852694,0.194939508052865,0.027640776409895314,3.8711668373122225e-06,17.663044235420326,3.495239390424103e-11,True
M2,0.2,7200.0,Q2,4680.0,120.0,2400000.0,6.780312287353207e-06,16.272749489647698,92622.82601843962,0.00041519652637912345,0.0,0.0004261853129298108,0.19458273242764051,0.02718391456059802,3.8071820774774833e-06,17.62218092260361,4.420235399984338e-11,True
M2,0.2,7200.0,Q2,4800.0,120.0,2400000.0,6.764639359855833e-06,16.235134463654,94571.0421540781,0.0004141846132629499,0.0,0.0004261050504638947,0.19422028629154867,0.02673460397347397,3.744254892700385e-06,17.55313061388488,4.0158360985560526e-11,True
M2,0.2,7200.0,Q2,4920.0,120.0,2400000.0,6.7478145096141396e-06,16.194754823073936,96514.41273284696,0.00041306915308493374,0.0,0.0004259713899176793,0.19385243268672855,0.02629271983713764,3.6823678028027564e-06,17.49093304816745,2.641674400546731e-11,True
M2,0.2,7200.0,Q2,5040.0,120.0,2400000.0,6.725375965498207e-06,16.140902317195696,98451.32101091044,0.00041158599376395314,0.0,0.0004253878120467046,0.19347996800485484,0.025858139403154238,3.621503616528351e-06,17.274610749753254,2.3628709178855184e-11,True
M2,0.2,7200.0,Q2,5160.0,120.0,2400000.0,6.709705323147548e-06,16.103292775554117,100383.71614397694,0.0004104556586298732,0.0,0.00042532575176363187,0.19310220081780274,0.02543074195194215,3.561645426767384e-06,17.317328713543382,4.2773268170671437e-11,True
M2,0.2,7200.0,Q2,5280.0,120.0,2400000.0,6.689769595132141e-06,16.05544702831714,102310.36978737499,0.000409053354543504,0.0,0.00042488429285935547,0.19271976165958335,0.025010408759238947,3.502776605860038e-06,17.13963381485396,3.990497302743124e-11,True
