time_s,max_C,mean_C,center_C,surface_C
156540,0.1669168929763644,0.1272175776809365,0.1669168929763644,0.0537637548910632
156600,0.1668717917645401,0.1271885472363044,0.1668717917645401,0.0537603797695143
156660,0.1668267327465337,0.1271595425517505,0.1668267327465337,0.0537570093498292
156720,0.1667817158607517,0.1271305635915838,0.1667817158607517,0.0537536436232683
156780,0.1667367410461834,0.1271016103201803,0.1667367410461834,0.0537502825811005
156840,0.1666918082413935,0.1270726827019813,0.1666918082413935,0.0537469262146119
156900,0.1666469173864155,0.1270437807014939,0.1666469173864155,0.0537435745151605
156960,0.1666020684201834,0.1270149042832912,0.1666020684201834,0.0537402274740044
157020,0.1665572612829861,0.1269860534120116,0.1665572612829861,0.0537368850825898
157080,0.166512495914054,0.1269572280523589,0.166512495914054,0.0537335473322021
157140,0.1664677722537482,0.1269284281691023,0.1664677722537482,0.0537302142142841
157200,0.1664230902417192,0.1268996537270755,0.1664230902417192,0.0537268857202439
157260,0.1663784498183866,0.1268709046911778,0.1663784498183866,0.053723561841511
157320,0.1663338509237166,0.1268421810263728,0.1663338509237166,0.0537202425695404
157380,0.1662892934983148,0.1268134826976888,0.1662892934983148,0.0537169278958027
157440,0.1662447774824044,0.1267848096702186,0.1662447774824044,0.0537136178117925
157500,0.1662003028167915,0.1267561619091195,0.1662003028167915,0.0537103123090192
157560,0.1661558694419552,0.1267275393796124,0.1661558694419552,0.0537070113790166
157620,0.1661114772988944,0.126698942046983,0.1661114772988944,0.053703715013333
157680,0.1660671263286382,0.1266703698764222,0.1660671263286382,0.0537004232042828
157740,0.1660228164706262,0.1266418228334984,0.1660228164706262,0.053697135942351
157800,0.1659785476704671,0.1266133008836901,0.1659785476704671,0.0536938532192938
157860,0.1659343198609741,0.1265848039925379,0.1659343198609741,0.0536905750268391
157920,0.1658901329949549,0.1265563321256455,0.1658901329949549,0.0536873013566791
157980,0.1658459870029355,0.1265278852486795,0.1658459870029355,0.0536840322004981
158040,0.1658018818361266,0.1264994633273698,0.1658018818361266,0.0536807675499886
158100,0.16575781742614,0.1264710663275087,0.16575781742614,0.0536775073968594
158160,0.165713793725491,0.1264426942149514,0.165713793725491,0.0536742517328377
158220,0.1656698106655782,0.1264143469556157,0.1656698106655782,0.0536710005496698
158280,0.1656258681986221,0.1263860245154817,0.1656258681986221,0.0536677538391209
158340,0.1655819662566281,0.1263577268605917,0.1655819662566281,0.0536645115929752
158400,0.1655381047919116,0.1263294539570504,0.1655381047919116,0.0536612738030353
158460,0.1654942837331579,0.1263012057710239,0.1654942837331579,0.0536580404611337
158520,0.1654505030347443,0.1262729822687406,0.1654505030347443,0.0536548115590904
158580,0.1654067626370158,0.1262447834164911,0.1654067626370158,0.0536515870887674
158640,0.1653630624829037,0.1262166091806268,0.1653630624829037,0.0536483670420315
158700,0.1653194025128968,0.1261884595275608,0.1653194025128968,0.0536451514108169
158760,0.1652757826720635,0.1261603344237674,0.1652757826720635,0.0536419401869644
158820,0.1652322029023885,0.1261322338357816,0.1652322029023885,0.0536387333624947
158880,0.1651886631472116,0.126104157730201,0.1651886631472116,0.0536355309292638
158940,0.16514516335193,0.1260761060736826,0.16514516335193,0.0536323328792891
159000,0.1651017034529301,0.1260480788329447,0.1651017034529301,0.0536291392045431
159060,0.1650582834029592,0.1260200759747659,0.1650582834029592,0.0536259498970279
159120,0.1650149031339949,0.1259920974659855,0.1650149031339949,0.0536227649487631
159180,0.1649715626034478,0.1259641432735032,0.1649715626034478,0.0536195843517862
159240,0.1649282617415355,0.1259362133642787,0.1649282617415355,0.0536164080981525
159300,0.1648850005047488,0.1259083077053319,0.1648850005047488,0.0536132361799355
159360,0.1648417788247752,0.1258804262637429,0.1648417788247752,0.0536100685892262
159420,0.1647985966578294,0.125852569006651,0.1647985966578294,0.0536069053181338
159480,0.1647554539361461,0.1258247359012557,0.1647554539361461,0.0536037463587852
159540,0.164712350615709,0.1257969269148158,0.164712350615709,0.053600591703325
159600,0.1646692866292788,0.1257691420146495,0.1646692866292788,0.0535974413439157
159660,0.1646262619328678,0.1257413811681343,0.1646262619328678,0.0535942952727373
159720,0.1645832764598498,0.1257136443427068,0.1645832764598498,0.0535911534819875
159780,0.1645403301658606,0.1256859315058628,0.1645403301658606,0.0535880159638817
159840,0.1644974229848192,0.1256582426251566,0.1644974229848192,0.0535848827106526
159900,0.1644545548724331,0.1256305776682015,0.1644545548724331,0.0535817537145506
159960,0.1644117257631119,0.1256029366026695,0.1644117257631119,0.0535786289678436
160020,0.1643689356123756,0.1255753193962906,0.1643689356123756,0.0535755084628168
160080,0.1643261843551252,0.1255477260168538,0.1643261843551252,0.0535723921917728
160140,0.1642834719468658,0.1255201564322056,0.1642834719468658,0.0535692801470316
