scenario,q,hm_mult,pref_mult,exponent_mult,shell,event_time_s,runtime_s,balance_error
85,4,1.08466785504256,0.9948609618249755,0.9618442393718053,core,178989.89094859068,0.8742181000125129,2.9496822838967703e-10
86,3,1.034793282054782,0.9490657065393625,0.9988815864473162,core,231277.7853176025,1.0232383999973536,8.259914366042396e-10
87,4,1.1426813962035436,0.9426066738485208,1.0490199130560516,core,215602.52562582423,0.9825033000088297,4.0990418603893826e-10
88,3,1.1078606590086624,1.040907707709467,0.9893894827372371,core,206024.06834633584,0.9491698999918299,3.425203465081603e-10
89,4,0.8298964565873506,1.0567781674857235,0.999525056695339,core,181981.2890399385,0.8941335999988951,5.848532049797801e-10
90,3,0.9657568459302567,1.019119413615462,1.0015742694274004,core,219227.59735069377,0.9020138999912888,4.45558520022415e-10
91,4,0.8522039172634708,1.0307984268109789,0.958057439807991,core,174426.80742055646,0.8607653000071878,5.642401238686735e-10
92,3,1.1080871613943704,1.084513998935014,0.9544060746604883,core,181050.50126387458,0.8877043999964371,3.5256480199250806e-10
93,4,1.1935289511374116,0.913370084853938,0.9757421542139336,core,197050.2910218903,0.9276482999994187,4.261476641519931e-10
94,3,0.9057618060468516,1.02909754325708,1.0313697572688025,core,236387.9801639722,1.0908537000068463,4.682981931397455e-10
95,4,1.0286417939269936,1.0173715614172363,0.9623387748549086,core,175946.28158340527,0.8607749000075273,2.1202141696080063e-10
96,3,0.914261733893443,1.073360063479776,0.9735733822626877,core,195634.72345073073,0.9514401000051294,4.860885425173718e-10
97,4,0.8851468223171098,1.088300247057031,1.0479964414867808,core,190469.9567458909,0.9096806000015931,8.696208730010011e-10
98,3,1.1731313782413635,0.949751827558527,1.0266023661990287,core,247712.67119432235,1.0548214000009466,3.336926490156115e-10
99,4,1.1828630870280445,1.0449929078990141,0.9612008890009874,core,170677.90402193175,0.8359471000003396,3.387830254383312e-10
100,3,0.9248180960120298,1.0112317680830951,0.9718098915366847,core,205109.17654723415,0.9572390999965137,4.483020499539785e-10
101,4,1.1978727695863258,0.9436181297820013,0.9765808825128857,core,191549.33592878777,0.9001446000038413,4.362586733461914e-10
102,3,0.8176440576391604,1.048695346995496,1.0196861877182375,core,227438.28607509323,1.0397969000041485,8.996157138370905e-10
103,4,1.0391739672546594,0.9097075653714732,0.9550895921220028,core,192145.30059390716,0.889002600000822,3.162354898247417e-10
104,3,0.7008728646221197,0.9974940648705061,0.9626440039064851,extrapolation,210099.45866736685,1.0217746999987867,1.2314303152213693e-09
105,4,1.144106283689684,0.8625356078417329,0.9724424785812326,extrapolation,206697.86788822204,0.9534322999970755,5.071522886275882e-10
106,3,0.8569752712105787,1.0665939970143454,0.9338610404886006,extrapolation,179810.60844475127,0.9158820000011474,8.35621954042222e-10
107,4,1.2966227645761805,0.9129131675947859,0.9945937678134226,extrapolation,202870.97116180763,0.9323592000000644,5.36059652397401e-10
108,3,1.0337475862251215,1.136799779680841,0.9923409092798684,extrapolation,192638.93907536071,0.9250827999931062,4.6409794730014643e-10
109,4,0.9872951940349117,0.9311130747680088,1.070985110384253,extrapolation,226647.1293083256,0.999965399998473,2.92290243829489e-10
110,3,0.7080743536169277,0.9516913163753048,0.9854393513881429,extrapolation,230873.17889434268,1.0716848000010941,1.010875826019417e-09
111,4,0.9629464035138271,0.8619837637330365,0.95110310684484,extrapolation,200934.44847944233,0.9523355000128504,2.0768308201494615e-10
112,3,1.0817444459163987,0.9312093157578882,0.9359342313151101,extrapolation,198632.1471310785,0.9278575000062119,1.0219381056464063e-09
113,4,1.281615903360522,1.0070475621775972,0.9956432080051569,extrapolation,185866.01468184064,0.8791065999976126,5.735693654666064e-10
114,3,0.9671497548313659,1.147158735294147,1.047078691038768,extrapolation,222047.70013842662,1.019976299998234,4.99423965383553e-10
115,4,1.1097174284587767,0.9767422640945519,1.0722613719058152,extrapolation,216858.77166238113,0.990256600009161,3.6984879893496717e-10
116,3,0.710353877260461,1.073252990621841,0.9761624000879192,extrapolation,203666.68571244602,0.9990787999995518,1.2134089361193703e-09
117,4,0.9962985242792347,0.8667565874597909,1.0123595700625874,extrapolation,220038.8873130094,0.9943522999965353,3.263393771524632e-10
118,3,0.9415717539798986,0.9634056863533972,0.929158694591722,extrapolation,191843.89018493023,0.9248263000044972,6.618902396933755e-10
119,4,1.2506237982129993,0.9493959489956257,1.033930283426596,extrapolation,208689.70055594514,0.951628199996776,5.880873501217199e-10
