label,group,time_s,radius_m,length_m,volume_half_m3,max_C,min_C,mean_C,center_C,side_surface_C,end_surface_C,center_T_C,side_surface_T_C,end_surface_T_C,hm_effective_m_s,hrad_W_m2K
length-A-no-axial-shrink,length_sensitivity,176400.0,0.012,0.25,5.654866776461627e-05,0.15561585713785753,0.05264138534639036,0.12108242784777278,0.15561585713785753,0.05275734579647882,0.0512440652975905,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,180000.0,0.012,0.25,5.654866776461627e-05,0.15361435376132992,0.05256730398161256,0.11975435553357859,0.15361435376132992,0.052636690555326986,0.051192886294548996,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,183600.0,0.012,0.25,5.654866776461627e-05,0.1517034511820955,0.05249648659394922,0.1184833290769514,0.1517034511820955,0.05252414440689619,0.05114497513825469,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-B-radius-proportional,length_sensitivity,0.0,0.02,0.25,0.00015707963267948965,2.55,2.55,2.55,2.55,1.9699041170216558,1.97624025336608,28.0,28.0,28.0,8e-07,0.0
length-B-radius-proportional,length_sensitivity,3600.0,0.01794,0.22425,0.00011336975449503853,2.549848272342152,0.5513863266881532,2.1462046672607054,2.5498482723421287,1.028470461841777,0.9306178315800149,47.485000000000014,47.485000000000014,47.485000000000014,8e-07,0.0
length-B-radius-proportional,length_sensitivity,7200.0,0.01625,0.203125,8.425389477461885e-05,2.5280755528762624,0.34149614412715645,1.835059008103415,2.528075552875456,0.8090958300206519,0.6731034576913734,49.851999999999975,49.85199999999992,49.85200000000003,8e-07,0.0
length-B-radius-proportional,length_sensitivity,10800.0,0.01552,0.194,7.340151787340179e-05,2.407560624494379,0.22978862051541576,1.5750129075854888,2.4075606244925254,0.6542439692073901,0.5028220494111395,50.19499999999999,50.19499999999999,50.194999999999936,8e-07,0.0
length-B-radius-proportional,length_sensitivity,14400.0,0.01477,0.184625,6.326614552468619e-05,2.1916242463803566,0.16711063358289188,1.3551937455407892,2.191624246378845,0.545649057795009,0.39009107864304526,50.16500000000002,50.16500000000002,50.16500000000002,8e-07,0.0
length-B-radius-proportional,length_sensitivity,18000.0,0.01424,0.178,5.6696971044058687e-05,1.9367330208099434,0.129435923002448,1.1664136726185639,1.9367330208093414,0.46106620734974046,0.30919047798053517,49.99893442622948,49.99893442622954,49.99893442622954,8e-07,0.0
length-B-radius-proportional,length_sensitivity,21600.0,0.01374,0.17175,5.093192468624486e-05,1.6845746110630242,0.10636669626670937,1.0042541180985332,1.6845746110630242,0.39279869662938965,0.249881160571428,49.99893442622948,49.99893442622954,49.99893442622954,8e-07,0.0
length-B-radius-proportional,length_sensitivity,25200.0,0.01337,0.167125,4.6927142714082176e-05,1.4548450748937019,0.09170998677712504,0.8655805770138143,1.4548450748937019,0.33452041531721394,0.204539218838827,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-B-radius-proportional,length_sensitivity,28800.0,0.01311,0.163875,4.424232738287831e-05,1.2547653754740133,0.08214801375872804,0.7482170874471129,1.2547653754740133,0.28449937105625717,0.16962552310007042,49.99893442622948,49.99893442622948,49.998934426229425,8e-07,0.0
length-B-radius-proportional,length_sensitivity,32400.0,0.01291,0.161375,4.224823953782311e-05,1.0857537448290386,0.0756982282090399,0.6503785677214947,1.0857537448290386,0.24212084967578165,0.14291281472978726,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-B-radius-proportional,length_sensitivity,36000.0,0.012729999999999998,0.159125,4.0505602923075546e-05,0.9444838789167717,0.07122339320587985,0.5693439729945331,0.9444838789167717,0.206985232883961,0.12268291967818491,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-B-radius-proportional,length_sensitivity,39600.0,0.0126,0.1575,3.927729091260835e-05,0.8270751815066251,0.06799493233440983,0.5025091188169113,0.8270751815066251,0.17798194446442417,0.10726406471723489,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-B-radius-proportional,length_sensitivity,43200.0,0.01248,0.156,3.816573636982639e-05,0.729712525328673,0.06558198508381757,0.447487543006752,0.729712525328673,0.15448489013696565,0.09560508624654065,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-B-radius-proportional,length_sensitivity,46800.0,0.0124,0.155,3.743647469723741e-05,0.6491414837898002,0.06371620188981228,0.4022328505287067,0.6491414837898002,0.13546080139418318,0.08668564327493426,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-B-radius-proportional,length_sensitivity,50400.0,0.01233,0.154125,3.680604220845781e-05,0.5823230718839676,0.06223447793258736,0.36489901189058904,0.5823230718839676,0.12029217779235023,0.07988841059884903,49.99893442622948,49.99893442622948,49.998934426229425,8e-07,0.0
length-B-radius-proportional,length_sensitivity,54000.0,0.01226,0.15325,3.61827274298039e-05,0.5266566652290628,0.061028481561692334,0.33391078728537105,0.5266566652290628,0.10825708565068226,0.0746737013474616,49.99893442622948,49.99893442622954,49.99893442622948,8e-07,0.0
