scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q4,M,15000.0,-493.02359878712485,25.966255252627047,-518.9898540397519,286.6241835104678,10.585806096059205,10.499251910919908,2.4729153738280042e-11,-2.891621306844172e-07,9.105341248474976e-11
nominal_proxy,Q4,M,15300.0,-483.1636434694194,25.354521736101148,-508.5181652055206,286.7266478005948,10.516758624578157,10.432243550468607,2.610626005936745e-11,-4.967639029018756e-07,1.5745152431945303e-10
nominal_proxy,Q4,M,15600.0,-466.2115801497022,25.073027530782845,-491.284607680485,286.82760344814204,10.44886496500207,10.365288204750316,2.675295313320977e-11,-5.447433295557857e-07,1.7378070293771148e-10
nominal_proxy,Q4,M,15900.0,-442.40972070603084,25.005006047374753,-467.4147267534056,286.92832633161356,10.382378976385365,10.29902895429571,2.7512879853328672e-11,-5.79521383770043e-07,1.8605927892767787e-10
nominal_proxy,Q4,M,16200.0,-411.71970297080196,25.303732869161685,-437.02343583996367,287.0296426560213,10.317218056377785,10.23287227824398,2.8335055129499798e-11,-5.709798642783426e-07,1.8447474928424157e-10
nominal_proxy,Q4,M,16500.0,-373.6758856465408,26.04417309794763,-399.7200587444884,287.13301806131494,10.253286716399183,10.166472804450768,2.9272589838951594e-11,-4.865768232775736e-07,1.5818564223552466e-10
nominal_proxy,Q4,M,16800.0,-341.91685378072617,26.851111545341837,-368.767965326068,287.2402506223367,10.190409043258285,10.100905337899507,2.8646873621708868e-11,-6.229163318494102e-08,2.0375902125391648e-11
nominal_proxy,Q4,M,17100.0,-323.7477793177797,27.35165789044712,-351.09943720822685,287.3516237372954,10.128421002257474,10.03724880935121,2.9312724230554393e-11,1.856801645772066e-08,6.1108625104157e-12
nominal_proxy,Q4,M,17400.0,-319.1649292481672,27.344286687792128,-346.50921593595933,287.4658822063558,10.067261948495782,9.976114326263945,2.938357860711534e-11,1.8241053112433292e-08,6.039726659130263e-12
nominal_proxy,Q4,M,17700.0,-328.1108043274421,26.69175494361948,-354.80255927106157,287.5809143582507,10.006956257257347,9.91798374050381,2.9154665764627814e-11,-8.244137461588252e-08,2.7461355380028285e-11
nominal_proxy,Q4,M,18000.0,-350.47841574476143,25.303964952859594,-375.782380697621,287.6940025203031,9.94758128028952,9.86323472945869,2.8719401998374654e-11,-2.963893734886369e-07,9.931706516970548e-11
nominal_proxy,Q4,M,18300.0,-381.34508530041035,23.26981220652226,-404.6148975069326,287.80200462715806,9.889266470702053,9.811700428068836,2.834341526047603e-11,-5.834428407069936e-07,1.9665861717701773e-10
nominal_proxy,Q4,M,18600.0,-404.0933703513296,21.12320191385944,-425.21657226518903,287.90209809643454,9.832195643545575,9.761784967820232,2.7914963654520004e-11,-8.037434895413753e-07,2.724869461783609e-10
nominal_proxy,Q4,M,18900.0,-415.1529287505148,19.207863590249985,-434.36079234076476,287.9936935939709,9.776474309897345,9.712448094023735,2.7898890019674272e-11,-1.1718332189047942e-06,3.9954185996563645e-10
nominal_proxy,Q4,M,19200.0,-414.5068778295122,17.736337009508276,-432.2432148390204,288.07767265709083,9.722083682164659,9.662962555116255,2.661230269746513e-11,-1.105012700008956e-06,3.7886689593648946e-10
nominal_proxy,Q4,M,19500.0,-402.21622763934624,16.849922414583645,-419.0661500539299,288.15586356763373,9.668924207585084,9.612757795978132,2.6195582389821423e-11,-1.0675020121198031e-06,3.680181956135197e-10
nominal_proxy,Q4,M,19800.0,-378.3880025589887,16.639893085784973,-395.0278956447737,288.23076032451104,9.6168477813014,9.561381467342926,2.673572706538144e-11,-1.1017573342542164e-06,3.818844314718965e-10
nominal_proxy,Q4,M,20100.0,-359.287199761213,16.659994489963367,-375.94719425117637,288.30532028842964,9.565639557666639,9.51010623880601,2.771652645471845e-11,-1.1682253671096987e-06,4.070908728639383e-10
nominal_proxy,Q4,M,20400.0,-350.83416614377086,16.551631692574325,-367.3857978363452,288.3805566390726,9.515126584786987,9.459954476071083,2.7496875203518184e-11,-9.221969889949833e-07,3.2306348590583963e-10
nominal_proxy,Q4,M,20700.0,-339.9665958939317,16.519959608417107,-356.4865555023488,288.45588103031207,9.465279601283738,9.410213066122747,2.7964625804942347e-11,-9.398802376381354e-07,3.309922429587335e-10
nominal_proxy,Q4,M,21000.0,-326.6883808185862,16.59833713108823,-343.2867179496744,288.53163297996514,9.416095061003855,9.360767267443272,2.8409638743122816e-11,-9.370866109748022e-07,3.31732211319632e-10
nominal_proxy,Q4,M,21300.0,-311.00622331159053,16.81514751469017,-327.8213708262807,288.608311369763,9.367538872629584,9.311488377908256,2.8746303948740916e-11,-9.01708176570537e-07,3.208627114090699e-10
nominal_proxy,Q4,M,21600.0,-292.93582384327647,17.187064643229988,-310.12288848650644,288.6865552630956,9.319565959707166,9.262275741509423,2.8830088138868398e-11,-8.160927791323047e-07,2.918922700408491e-10
nominal_proxy,Q4,M,21900.0,-271.2217309174761,17.764278877744445,-288.9860097952206,288.76709179197854,9.272126291103612,9.212912025918193,2.8790729169781534e-11,-6.77881303090544e-07,2.4369861590465867e-10
nominal_proxy,Q4,M,22200.0,-252.06516592944737,18.37568543823128,-270.44085136767865,288.85089400458725,9.225150579500891,9.163898292938791,2.8733482011972112e-11,-5.303987222760043e-07,1.916495265506732e-10
nominal_proxy,Q4,M,22500.0,-239.8343608319052,18.81947974996597,-258.6538405818712,288.93813968997216,9.178581511847558,9.115849911251315,2.8742800345781406e-11,-4.289067305762728e-07,1.5576362208860823e-10
nominal_proxy,Q4,M,22800.0,-234.53971618101917,18.99248276799232,-253.5321989490115,289.02805004230424,9.132415530380747,9.069107253175925,2.8802299989228964e-11,-3.9345422919723205e-07,1.4361086537960317e-10
nominal_proxy,Q4,M,23100.0,-236.16186442544324,18.825986541788247,-254.98785096723148,289.1193431102914,9.086694250791979,9.02394096085569,2.895487601560701e-11,-4.390984713609214e-07,1.6107745356079317e-10
nominal_proxy,Q4,M,23400.0,-244.6571698990934,18.276520429754733,-262.9336903288481,289.2103899935957,9.041485584865175,8.980563848177198,2.93347806524946e-11,-5.766383424088417e-07,2.1258982166016856e-10
nominal_proxy,Q4,M,23700.0,-256.67632293906956,17.42007010647814,-274.0963930455477,289.29932939883804,8.99687732552937,8.938810422579316,3.003996151260104e-11,-7.785382081237913e-07,2.884475653623455e-10
nominal_proxy,Q4,M,24000.0,-264.14588534242296,16.53425500305668,-280.68014034547963,289.3846419582459,8.952957654256057,8.89784346772489,3.080315780288297e-11,-9.562934337736806e-07,3.56043768142951e-10
nominal_proxy,Q4,M,24300.0,-266.2791179494871,15.767243599193366,-282.04636154868047,289.4661430748052,8.909760019137078,8.857202536863275,3.139355982295059e-11,-1.0829476195794996e-06,4.0515405474949576e-10
nominal_proxy,Q4,M,24600.0,-263.0536387167024,15.21478038804744,-278.2684191047498,289.54437382431246,8.867254755316791,8.81653881685967,3.174112692326136e-11,-1.1490892006804643e-06,4.31959771236403e-10
nominal_proxy,Q4,M,24900.0,-254.48149491057873,14.938475991038864,-269.4199709016176,289.620359068846,8.825375302535148,8.775580378765781,3.1747800834682866e-11,-1.139771256930544e-06,4.304901936590115e-10
nominal_proxy,Q4,M,25200.0,-240.59529021777536,14.9770600068701,-255.57235022464545,289.69544884354497,8.784033079628774,8.734109542767902,3.141755254145913e-11,-1.0513914787679823e-06,3.9897826326355917e-10
