label,runtime_s,max_cg_iterations,max_linear_relative_residual,max_picard_iterations,normalized_moisture_balance_error,max_terminal_picard_update,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C
Q3-window-3600,6.966955399999279,12,4.994804840980486e-11,5,2.597423793224671e-09,9.980535356501896e-08,0.0,0.0,0.0,"[215040, 215100, 0.1500029379019592, 0.14998665101487793]",215054.50701514498,215100.0,215100.0,0.14998665101487793,0.12333037314245125
Q3-window-7200,6.206251600000542,12,4.999250689573023e-11,5,2.595747310610877e-09,9.977154688534107e-08,0.0,0.0,0.0,"[215280, 215340, 0.15000601500302932, 0.1499897522300951]",215305.881206327,215340.0,215340.0,0.1499897522300951,0.1233433947659855
Q3-sens-h_mult-low,6.279479599994374,12,4.994804840980486e-11,5,2.597423793224671e-09,9.980535356501896e-08,0.0,0.0,0.0,"[215040, 215100, 0.1500029379019592, 0.14998665101487793]",215054.50701514498,215100.0,215100.0,0.14998665101487793,0.12333037314245125
Q3-sens-h_mult-high,5.7065753000060795,12,4.994804840980486e-11,5,2.597423793224671e-09,9.980535356501896e-08,0.0,0.0,0.0,"[215040, 215100, 0.1500029379019592, 0.14998665101487793]",215054.50701514498,215100.0,215100.0,0.14998665101487793,0.12333037314245125
Q3-sens-hm_mult-low,5.936638599989237,12,4.998111683653447e-11,5,2.154694914570743e-09,9.994358278475612e-08,0.0,0.0,0.0,"[220200, 220260, 0.15000498863749617, 0.14998863807644097]",220221.97589725256,220260.0,220260.0,0.14998863807644097,0.12321562334224986
Q3-sens-hm_mult-high,7.176404500001809,12,4.999058671010453e-11,5,2.9479683108256026e-09,9.992042462880768e-08,0.0,0.0,0.0,"[211980, 212040, 0.1500138217041409, 0.14999757285043205]",212034.73015293197,212040.0,212040.0,0.14999757285043205,0.12341416150114284
Q3-sens-pref-low,6.413858300002175,12,4.997799296029412e-11,5,2.3431540321597223e-09,9.989002511257006e-08,0.0,0.0,0.0,,,,259200,0.1511005312211113,0.12421895852860797
Q3-sens-pref-high,6.2390030000096885,13,4.99948974679197e-11,5,2.8547231924656167e-09,9.996076472118531e-08,0.0,0.0,0.0,"[182640, 182700, 0.15001623468398392, 0.1499966236852776]",182692.72964699665,182700.0,182700.0,0.1499966236852776,0.12324487777194373
Q3-sens-exponent-low,4.6784586000139825,13,4.9990239929696766e-11,5,2.2045378625947153e-09,9.989643426355777e-08,0.0,0.0,0.0,"[133980, 134040, 0.15002507128738307, 0.14998895671025553]",134023.31428933697,134040.0,134040.0,0.14998895671025553,0.11888557571364408
Q3-sens-exponent-high,6.2383780000091065,12,4.9972976322443974e-11,5,2.9722699704789845e-09,9.988076152267489e-08,0.0,0.0,0.0,,,,259200,0.16831502841766244,0.14068487190262605
Q3-combination-low,6.358382499995059,11,4.998720265115843e-11,5,2.8439357346785433e-09,9.990184929309365e-08,0.0,0.0,0.0,,,,259200,0.1824933498937684,0.15091520614175385
Q3-combination-high,4.050358899999992,13,4.996810181838367e-11,5,2.524758261039428e-09,9.990287830330402e-08,0.0,0.0,0.0,"[111720, 111780, 0.15003472127200274, 0.14999138078926708]",111769.45206386456,111780.0,111780.0,0.14999138078926708,0.11888765543531322
Q4-reference-nr93,73.72856809999212,77,5.000000094856472e-11,6,3.072878445950924e-09,9.994823321757274e-08,4.440892098500626e-16,0.0,8.770256199918759e-14,"[183780, 183840, 0.15001961883864465, 0.14998882936944993]",183820.18030680736,183840.0,183840.0,0.14998882936944993,0.11623059836382513
Q4-reference-nr140,123.92500490001112,117,4.9999544656588606e-11,6,2.444167403755412e-09,9.990896063238885e-08,4.440892098500626e-16,0.0,1.5424116792902976e-13,"[183780, 183840, 0.15000867265657394, 0.14997788510309265]",183798.85045509672,183840.0,183840.0,0.14997788510309265,0.11621580533427131
Q4-reference-nr210,191.30577330000233,175,4.999933964962938e-11,6,2.0100786009095716e-09,9.999631724044722e-08,4.440892098500626e-16,0.0,2.3835515716077587e-13,"[183780, 183840, 0.1500037882297099, 0.14997300152746437]",183789.33174915268,183840.0,183840.0,0.14997300152746437,0.1162091939086573
Q4-moving-fv,163.03356539999368,175,4.999922909882712e-11,6,2.0100786009095716e-09,9.999631719881386e-08,4.440892098500626e-16,0.0,2.3835515716077587e-13,"[183780, 183840, 0.15000378822970953, 0.1499730015274644]",183789.3317491521,183840.0,183840.0,0.1499730015274644,0.1162091939086573
Q4-reference-dt30,206.54290089999267,132,4.999952099861394e-11,5,6.496722237061286e-09,9.996409422452501e-08,4.440892098500626e-16,0.0,2.4344235429113636e-13,"[183690, 183720, 0.15001350503533334, 0.14999810224253232]",183718.25143891902,183720.0,183720.0,0.14999810224253232,0.11622553519370277
Q4-reference-dt15,299.1930054000113,96,4.99998074793827e-11,5,7.025528300582874e-09,9.998610552008902e-08,6.661338147750939e-16,0.0,2.7843465667688247e-13,"[183675, 183690, 0.15000294902692576, 0.1499952481590413]",183682.6920426081,183720.0,183720.0,0.1499952481590413,0.11622360226905613
Q4-jacobian-ablation,6.359243800005061,8,4.9976557623431566e-11,4,0.5936318972871306,9.98731925772045e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[186960, 187020, 0.15002108721609006, 0.14999122961486408]",187004.38511169647,187020.0,187020.0,0.14999122961486408,0.11732524106004076
Q4-constant-radius-reference,1.8998902999883285,7,4.999047003765775e-11,4,3.3690435813760083e-09,2.3216310374163385e-08,0.0,0.0,0.0,,,,43200,1.410251649455245,0.8060826642327173
Q4-constant-radius-moving,1.4777720999991288,7,4.999047373626371e-11,4,3.3690437049396258e-09,2.3216310374163385e-08,0.0,0.0,0.0,,,,43200,1.410251649455245,0.8060826642327173
Q4-radius-pchip,6.644271400000434,8,4.997655372699443e-11,4,4.211801188521352e-09,9.98731925910823e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[186960, 187020, 0.15002108721609006, 0.14999122961486405]",187004.38511169644,187020.0,187020.0,0.14999122961486405,0.11732524106004073
Q4-radius-linear,5.964955200004624,8,4.999929172958574e-11,4,4.205389713419354e-09,9.993830162036144e-08,4.440892098500626e-16,0.0,6.929568330017711e-15,"[186960, 187020, 0.15002741626990596, 0.14999755402307355]",187017.09470569735,187020.0,187020.0,0.14999755402307355,0.1173293922196993
Q4-window-1800,6.058005500002764,8,4.997190670170555e-11,4,4.214672026239757e-09,9.982746962400313e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[186900, 186960, 0.15000851532164117, 0.14997865109158617]",186919.11716114628,186960.0,186960.0,0.14997865109158617,0.11731679268397308
Q4-window-3600,7.587627200002316,8,4.997655372699443e-11,4,4.211801188521352e-09,9.98731925910823e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[186960, 187020, 0.15002108721609006, 0.14999122961486405]",187004.38511169644,187020.0,187020.0,0.14999122961486405,0.11732524106004073
Q4-window-7200,6.262593299994478,8,4.999977067472652e-11,4,4.209082666402773e-09,9.986705949704966e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[187140, 187200, 0.1500238976052688, 0.14999407504506732]",187190.09148463566,187200.0,187200.0,0.14999407504506732,0.11732679054591405
Q4-sens-h_mult-low,5.678300799991121,8,4.997655372699443e-11,4,4.211801188521352e-09,9.98731925910823e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[186960, 187020, 0.15002108721609006, 0.14999122961486405]",187004.38511169644,187020.0,187020.0,0.14999122961486405,0.11732524106004073
Q4-sens-h_mult-high,5.198176899997634,8,4.997655372699443e-11,4,4.211801188521352e-09,9.98731925910823e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[186960, 187020, 0.15002108721609006, 0.14999122961486405]",187004.38511169644,187020.0,187020.0,0.14999122961486405,0.11732524106004073
Q4-sens-hm_mult-low,6.861756099999184,8,4.9994183204680276e-11,4,3.869416493444403e-09,9.99825215258765e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[189120, 189180, 0.1500095443543279, 0.14997966584444178]",189141.17445823387,189180.0,189180.0,0.14997966584444178,0.11729864080652737
Q4-sens-hm_mult-high,7.085985099998652,8,4.9993400896014407e-11,4,3.791453747577743e-09,9.999749892020127e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[185820, 185880, 0.15001367960873313, 0.14998384998506542]",185849.52690700357,185880.0,185880.0,0.14998384998506542,0.11733348989675486
Q4-sens-pref-low,6.047575299991877,7,4.99659202442175e-11,4,3.860680635219142e-09,9.991683275201169e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[228720, 228780, 0.1500050218444933, 0.14998112380660977]",228735.11884244886,228780.0,228780.0,0.14998112380660977,0.11734716715174152
Q4-sens-pref-high,7.093169999992824,8,4.9991708042218966e-11,4,3.3078838283312312e-09,9.991052304925141e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[159300, 159360, 0.15002705557911092, 0.14999119771028988]",159346.94464010274,159360.0,159360.0,0.14999119771028988,0.11729799300597285
Q4-sens-exponent-low,6.066103000004659,8,4.9989511973281345e-11,4,3.9400223613658435e-09,9.992032130867745e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[139800, 139860, 0.15000172629214745, 0.1499498611940211]",139803.15390377646,139860.0,139860.0,0.1499498611940211,0.11370557999771995
Q4-sens-exponent-high,8.538388299988583,8,4.997376416257947e-11,4,4.221354237238276e-09,9.990454316599617e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[257340, 257400, 0.15001609930745077, 0.1499986765493936]",257398.88610997642,257400.0,257400.0,0.1499986765493936,0.12056669105282442
Q4-combination-low,7.866024200004176,7,4.997293707749902e-11,4,4.059093321466085e-09,9.990150393046626e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,,,,259200,0.16697673404235358,0.13227430824063421
Q4-combination-high,4.373893299998599,8,4.998001852175775e-11,4,2.9474847911458047e-09,9.971820599807835e-08,4.440892098500626e-16,0.0,6.344256397915497e-15,"[118620, 118680, 0.15000508627555775, 0.1499429605180954]",118625.87802142593,118680.0,118680.0,0.1499429605180954,0.11368121586578125
