implementation,question,family,level,label,nr,nz,dt_s,duration_s,space_level,time_level,runtime_s,completed_to_event,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,max_picard_iterations,max_picard_update,normalized_moisture_balance_error,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,temperature_solver_calls,internal_temperature_min_C,internal_temperature_max_C,internal_temperature_mean_C,internal_temperature_range_C,max_abs_internal_minus_environment_C,environment_temperature_C_at_last_record,parameter_multipliers,source
prescribed-T-baseline,Q3,time,Y,Q3-time-Y,12,12,37.5,259200.0,M,Y,8.586988299997756,True,212241.1135316349,212280.0,212280.0,0.14999653125241633,0.12294124634203805,4.998653863858476e-11,4,9.994573663130168e-08,7.0883065729775525e-09,0.0,0.0,0.0,"[212212.5, 212250.0, 0.15000694911816276, 0.14999653125241633]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q3,time,Y,Q3-time-Y,12,12,37.5,259200.0,M,Y,14.771043400003691,True,212548.3022911776,212580.0,212580.0,0.14999852832905303,0.12294049088487222,4.999846710214472e-11,5,9.998728461857453e-08,3.0695550936340267e-09,0.0,0.0,0.0,"[212512.5, 212550.0, 0.15000894687684976, 0.14999852832905303]",2074,49.998934426227834,49.998934426230676,49.99893442622957,2.8421709430404007e-12,1.6484591469634324e-12,49.99893442622948,{},new-refinement-run
prescribed-T-baseline,Q3,time,Z,Q3-time-Z,12,12,18.75,259200.0,M,Z,14.013358699987293,True,212181.4583783719,212220.0,212220.0,0.14999558539047345,0.12294050691847834,4.999453570882757e-11,4,9.998629069141174e-08,5.9064812005075e-09,0.0,0.0,0.0,"[212175.0, 212193.75, 0.15000079413595552, 0.14999558539047345]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q3,time,Z,Q3-time-Z,12,12,18.75,259200.0,M,Z,27.874686299997848,True,212489.1856483684,212520.0,212520.0,0.14999773193516688,0.12293985388863629,4.999810864804011e-11,4,9.996124994415823e-08,5.023268003364926e-09,0.0,0.0,0.0,"[212475.0, 212493.75, 0.150002941046458, 0.14999773193516688]",7866,49.99893442622738,49.99893442622914,49.99893442622832,1.7621459846850485e-12,2.1032064978498966e-12,49.99893442622948,{},new-refinement-run
prescribed-T-baseline,Q4,spatial,X,Q4-spatial-X,27,27,300.0,259200.0,X,M,4.798032599996077,True,184777.14881752362,184800.0,184800.0,0.14998731763086695,0.1163871129346757,4.9993030673187756e-11,7,9.98663374635056e-08,6.006743520291276e-10,4.440892098500626e-16,0.0,1.8004844366213006e-14,"[184500.0, 184800.0, 0.1501406887198045, 0.14998731763086695]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q4,spatial,X,Q4-spatial-X,27,27,300.0,259200.0,X,M,7.628727899995283,True,185059.07396981536,185100.0,185100.0,0.14997808185293365,0.11637848760791399,4.9997915425065066e-11,7,9.991123101071864e-08,3.607957575821789e-10,4.440892098500626e-16,0.0,1.8004844366213006e-14,"[184800.0, 185100.0, 0.15013141810596356, 0.14997808185293365]",617,49.99893442623488,49.998934426319295,49.99893442627356,8.44124770082999e-11,8.981260180007666e-11,49.99893442622948,{},new-refinement-run
prescribed-T-baseline,Q4,spatial,Y,Q4-spatial-Y,36,36,300.0,259200.0,Y,M,7.546136899996782,True,184593.30570421397,184620.0,184620.0,0.14989338784158987,0.11622971047263378,4.999196156361281e-11,8,9.99089963260591e-08,6.46482603826933e-10,4.440892098500626e-16,0.0,2.4790312746171267e-14,"[184500.0, 184800.0, 0.15004667532058172, 0.14989338784158987]",0,49.99893442622948,49.99893442622948,49.99893442622949,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q4,spatial,Y,Q4-spatial-Y,36,36,300.0,259200.0,Y,M,10.875674900002195,True,184874.96922578613,184920.0,184920.0,0.1498840451128862,0.11622102248202891,4.9995549032833575e-11,8,9.982937550223614e-08,2.0488597616153065e-10,4.440892098500626e-16,0.0,2.4790312746171267e-14,"[184800.0, 185100.0, 0.1500372973347417, 0.1498840451128862]",617,49.99893442628161,49.99893442709987,49.998934426663524,8.182610145013314e-10,8.703864295966923e-10,49.99893442622948,{},new-refinement-run
prescribed-T-baseline,Q4,time,X,Q4-time-X,12,12,75.0,259200.0,M,X,4.501637800000026,True,186005.26598336615,186060.0,186060.0,0.14996397045414164,0.11698602112517642,4.997237436345878e-11,4,9.993837608857081e-08,3.85102973783648e-09,6.661338147750939e-16,0.0,7.91717151666865e-15,"[186000.0, 186075.0, 0.15000164526575002, 0.14996397045414164]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q4,time,X,Q4-time-X,12,12,75.0,259200.0,M,X,8.398926599998958,True,186288.75206463513,186300.0,186300.0,0.14999334572994624,0.11700303091694814,4.999959231930476e-11,5,9.988843693853333e-08,2.3872600295392523e-09,6.661338147750939e-16,0.0,7.91717151666865e-15,"[186225.0, 186300.0, 0.15003104778283638, 0.14999334572994624]",1337,49.99893442622965,49.998934426230505,49.99893442622997,8.526512829121202e-13,1.0231815394945443e-12,49.99893442622948,{},new-refinement-run
prescribed-T-baseline,Q4,time,Y,Q4-time-Y,12,12,37.5,259200.0,M,Y,8.026107800003956,True,185916.30964036667,185940.0,185940.0,0.14999463130175966,0.11700624990173271,4.99992756612172e-11,4,9.98563904897054e-08,3.951650655663065e-09,6.661338147750939e-16,0.0,8.458699278555036e-15,"[185887.5, 185925.0, 0.15001348278672977, 0.14999463130175966]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q4,time,Y,Q4-time-Y,12,12,37.5,259200.0,M,Y,14.301143599994248,True,186199.75379788363,186240.0,186240.0,0.14998631117197428,0.11699824095280122,4.999760770490673e-11,4,9.995572541887654e-08,2.7137279183788126e-09,6.661338147750939e-16,0.0,8.458699278555036e-15,"[186187.5, 186225.0, 0.150005158800967, 0.14998631117197428]",4062,49.99893442622829,49.99893442622931,49.99893442622878,1.0231815394945443e-12,1.1937117960769683e-12,49.99893442622948,{},new-refinement-run
